medal,sex,year,count(medal)
Silver,M,1896,43
Gold,M,1896,62
Bronze,M,1896,38
Gold,M,1900,197
Gold,F,1900,4
Silver,M,1900,224
Bronze,M,1900,170
Silver,F,1900,4
Bronze,F,1900,5
Gold,M,1904,167
Silver,M,1904,161
Bronze,M,1904,148
Silver,F,1904,2
Gold,F,1904,6
Bronze,F,1904,2
Bronze,M,1906,143
Gold,M,1906,155
Silver,M,1906,154
Gold,F,1906,2
Silver,F,1906,2
Bronze,F,1906,2
Bronze,F,1908,5
Gold,M,1908,288
Silver,M,1908,276
Bronze,M,1908,251
Silver,F,1908,5
Gold,F,1908,6
Gold,M,1912,316
Bronze,M,1912,290
Silver,M,1912,305
Bronze,F,1912,10
Silver,F,1912,10
Gold,F,1912,10
Bronze,M,1920,353
Silver,M,1920,433
Gold,M,1920,478
Silver,F,1920,15
Bronze,F,1920,14
Gold,F,1920,15
Silver,M,1924,301
Gold,M,1924,315
Bronze,M,1924,294
Silver,F,1924,18
Gold,F,1924,17
Bronze,F,1924,17
Silver,M,1928,233
Gold,M,1928,241
Gold,F,1928,34
Silver,F,1928,34
Bronze,M,1928,246
Bronze,F,1928,35
Gold,M,1932,239
Bronze,M,1932,210
Silver,M,1932,222
Bronze,F,1932,22
Silver,F,1932,24
Gold,F,1932,22
Bronze,M,1936,297
Gold,M,1936,316
Silver,M,1936,315
Silver,F,1936,32
Gold,F,1936,32
Bronze,F,1936,33
Bronze,M,1948,285
Gold,M,1948,292
Silver,M,1948,294
Bronze,F,1948,40
Gold,F,1948,38
Silver,F,1948,38
Bronze,M,1952,295
Gold,M,1952,298
Silver,M,1952,282
Silver,F,1952,53
Bronze,F,1952,52
Gold,F,1952,53
Gold,M,1956,299
Bronze,F,1956,58
Bronze,M,1956,290
Silver,F,1956,59
Silver,M,1956,283
Gold,F,1956,54
Gold,M,1960,290
Silver,M,1960,276
Bronze,M,1960,297
Bronze,F,1960,60
Silver,F,1960,66
Gold,F,1960,69
Silver,M,1964,319
Silver,F,1964,87
Bronze,F,1964,73
Bronze,M,1964,328
Gold,F,1964,86
Gold,M,1964,322
Bronze,F,1968,84
Gold,M,1968,335
Bronze,M,1968,337
Silver,M,1968,323
Gold,F,1968,90
Silver,F,1968,87
Gold,M,1972,372
Silver,F,1972,99
Silver,M,1972,356
Bronze,M,1972,391
Gold,F,1972,102
Bronze,F,1972,94
Gold,M,1976,360
Silver,M,1976,358
Bronze,F,1976,145
Gold,F,1976,148
Bronze,M,1976,373
Silver,F,1976,147
Gold,M,1980,367
Bronze,M,1980,381
Silver,M,1980,369
Gold,F,1980,162
Bronze,F,1980,161
Silver,F,1980,162
Bronze,M,1984,394
Gold,M,1984,383
Bronze,F,1984,182
Silver,M,1984,373
Gold,F,1984,188
Silver,F,1984,178
Bronze,F,1988,212
Gold,M,1988,408
Bronze,M,1988,425
Silver,M,1988,395
Silver,F,1988,206
Gold,F,1988,199
Gold,M,1992,433
Bronze,M,1992,473
Silver,M,1992,433
Gold,F,1992,230
Silver,F,1992,224
Bronze,F,1992,237
Silver,M,1994,73
Bronze,M,1994,76
Gold,M,1994,74
Silver,F,1994,36
Gold,F,1994,36
Bronze,F,1994,36
Silver,M,1996,352
Bronze,F,1996,256
Gold,M,1996,353
Silver,F,1996,253
Bronze,M,1996,373
Gold,F,1996,255
Silver,F,1998,63
Silver,M,1998,82
Gold,M,1998,82
Gold,F,1998,63
Bronze,M,1998,87
Bronze,F,1998,63
Gold,M,2000,375
Bronze,M,2000,381
Bronze,F,2000,299
Gold,F,2000,288
Silver,F,2000,293
Silver,M,2000,368
Gold,M,2002,92
Silver,M,2002,89
Bronze,M,2002,89
Bronze,F,2002,70
Silver,F,2002,68
Gold,F,2002,70
Silver,M,2004,361
Silver,F,2004,299
Bronze,M,2004,376
Gold,M,2004,366
Bronze,F,2004,301
Gold,F,2004,298
Gold,M,2006,99
Bronze,F,2006,77
Silver,M,2006,98
Gold,F,2006,77
Bronze,M,2006,98
Silver,F,2006,77
Gold,F,2008,306
Bronze,M,2008,391
Silver,F,2008,307
Gold,M,2008,365
Silver,M,2008,360
Bronze,F,2008,319
Silver,M,2010,98
Gold,F,2010,77
Gold,M,2010,97
Silver,F,2010,77
Bronze,M,2010,96
Bronze,F,2010,75
Gold,M,2012,331
Bronze,F,2012,314
Bronze,M,2012,365
Silver,M,2012,327
Gold,F,2012,301
Silver,F,2012,303
Bronze,M,2014,111
Bronze,F,2014,87
Gold,F,2014,91
Silver,M,2014,110
Gold,M,2014,111
Silver,F,2014,87
Bronze,M,2016,372
Bronze,F,2016,331
Silver,M,2016,335
Gold,M,2016,347
Silver,F,2016,320
Gold,F,2016,318
